wallet,totalDepositedUSD,totalBorrowedUSD,totalRepaidUSD,totalWithdrawnUSD,activityCount,uniqueTokens,creditScore
0x00452d3fd0e6bd68943b30af56a8df4eb7685387,447.4119381076985,224.88732795236206,223.23178740850756,0,6,3,300.00000000000273
0x004624a132094f106e977c369c8f2e1ebffb2ae1,1.1052893739993006,0.0,0.0,0,1,1,300.00000000000006
0x0046d10482bc3ae87fa4cb550e36706addf2304a,1.10967015429709,0.0,0.0,0,1,1,300.00000000000006
0x004815f49c32e9ef6341dc2d53411a59de5a2daa,127.14876244362709,0.0,0.0,0,1,1,300.00000000000085
0x00481898361901f3e49bfe3e40872d09e93c2c11,375399.52974386304,0.0,0.0,0,6,2,300.00000000245933
0x0048e6fd005224e7e9f00058c630307f0710a84b,3.9361123205757544e+16,2.0753040701538904e+16,7560393327432128.0,0,140,7,426.955531047264
0x0049436d8c3da52d604cdc390e45026b2662d7f7,44603.65161466952,6295013816008364.0,6099356075493892.0,0,12,5,300.0
0x00495585ecf70ad7dd71797c2a22951ed92b9a24,139003319449098.55,30085314056770.812,30067390410712.387,0,30,6,300.8710622642336
0x004965f85a3db4d5221189595141ecab247b115d,1.3424612690769462,0.0,0.0,0,2,1,300.00000000000006
0x0049d23daaafeaac69e336ffe9dcb9ca14dac781,3.4360823275372016e+16,2.5009333659749364e+16,2.5130542777750012e+16,0,91,4,493.2856364157242
0x0049f39431ab794a381deca90fa7ab85e60e6ebb,0.1950305462655019,0.0,0.0,0,1,1,300.00000000000006
0x004a61f49faeab28ac5cc72ed26a7114d134362e,1.0010319616910184,0.0,0.0,0,1,1,300.00000000000006
0x004af1171e5783d1223056a700e992b0eccf6191,54.81093601230107,0.0,0.0,0,1,1,300.0000000000004
0x004afb002e3fb33c833fc16b6b63103bbf97312d,1.9467509282512532e+16,4004516454406714.5,2768.6051954217714,0,13,3,390.80569424964597
0x004bac9f45af6848ffbdf0dec8f47023ccd7a138,0.46912130048140754,235473570781.99008,0.0,0,4,3,300.0
0x004c572659319871be9d4ab337fb3df6237979d7,0.11649853815081415,0.0,0.0,0,1,1,300.0
0x004c5993adfd45da327f82ec7581a6ee736bf4cb,1.02161173771573,0.0,0.0,0,1,1,300.00000000000006
0x004c788aecdcc8ae214519737576d67da3c7334a,1.0947474862942346,0.0,0.0,0,1,1,300.00000000000006
0x004ce54398cc569a622bf5a99ae857306243c8ec,547372.9040032326,499506.95038301294,501863.37217113253,0,88,1,300.00000000295006
